Institution,Indexed,Delta,Run #10 Mar 13 12:23 PM (6936 found, completed),Run #8 Mar 12 02:13 PM (17642 found, completed),Run #7 Mar 12 11:44 AM (10969 found, completed),Run #4 Mar 12 07:31 AM (11971 found, completed),Run #2 Mar 12 01:00 AM (23775 found, completed),Run #1 Mar 11 11:52 PM (19493 found, completed)
"University of Vermont",27,-61,0,61,61,26,0,0
"Icahn School of Medicine at Mount Sinai",14,-108,0,108,0,14,0,0
"UT Health",34,-21,0,21,56,34,0,0
"Oregon State University",34,-154,0,154,154,34,0,0
"University of Wyoming",5,-23,0,23,22,4,0,0
"George Washington University",61,-165,0,165,0,61,0,0
"ETH Zurich",26,-28,0,28,28,24,0,0
"University of Connecticut",298,-298,0,298,298,298,0,0
"McGill University",157,0,0,0,157,157,0,0
"University of South Dakota",2,-17,0,17,17,2,0,0
"CZ Biohub",93,-10,0,10,0,88,0,0
"Aalto University",25,-27,0,27,27,24,0,0
"Nottingham Trent University",17,-17,0,17,17,17,0,0
"Northeastern University",69,-294,0,294,294,62,0,0
"Georgia State University",34,-39,0,39,39,32,0,0
"Utah State University",44,0,0,0,0,44,0,0
"Queen's University",37,-54,0,54,54,24,0,0
"University of Toronto",50,-70,0,70,70,24,0,0
"Binghamton University",21,-108,0,108,0,19,0,0
"Brandeis University",95,0,0,0,95,95,0,0
"Trinity College Dublin",27,-28,0,28,28,24,0,0
"New Jersey Institute of Technology",24,-110,0,110,110,24,0,0
"Western University",34,-53,0,53,53,24,0,0
"Medical University of South Carolina",35,-55,0,55,0,34,0,0
"Ludwig Maximilian University of Munich",17,-17,0,17,17,17,0,0
"University of Hawaii",29,-41,0,41,41,24,0,0
"University of Rhode Island",40,0,0,0,40,40,0,0
"Rowan University",18,-56,0,56,22,17,0,0
"Penn State University",0,-1,0,1,1,0,0,0
